Time	 CoPx	 Distance(d)	 Abs Distance	 Velocity
28143.84	0.0203	0.0059	0.0059	0.0004
28159.71	0.3747	0.3544	0.3544	0.0223
28180.41	0.3362	-0.0385	0.0385	-0.0019
28196.17	-0.6393	-0.9754	0.9754	-0.0619
28213.19	0.0273	0.6666	0.6666	0.0392
28228.13	-0.0737	-0.1011	0.1011	-0.0068
28243.69	-0.0056	0.0681	0.0681	0.0044
28264.08	-0.1235	-0.118	0.118	-0.0058
28279.63	0.3423	0.4658	0.4658	0.03
28294.93	-0.1878	-0.5302	0.5302	-0.0347
28310.2	0.7399	0.9277	0.9277	0.0608
28330.23	0.7639	0.024	0.024	0.0012
28345.28	0.5239	-0.24	0.24	-0.0159
28360.68	0.0401	-0.4838	0.4838	-0.0314
28376.67	0.0401	0.0001	0.0001	0.0
28397.07	-0.4806	-0.5207	0.5207	-0.0255
28414.3	-0.1235	0.3571	0.3571	0.0207
28429.15	0.0219	0.1454	0.1454	0.0098
28444.6	0.0205	-0.0014	0.0014	-0.0001
28459.66	-0.47	-0.4905	0.4905	-0.0326
28479.59	-0.1412	0.3288	0.3288	0.0165
28494.9	0.0046	0.1458	0.1458	0.0095
28509.74	-0.6013	-0.6059	0.6059	-0.0408
28529.81	-0.1795	0.4218	0.4218	0.021
28544.87	-0.1356	0.0439	0.0439	0.0029
28560.22	0.0431	0.1787	0.1787	0.0116
28580.69	0.0044	-0.0387	0.0387	-0.0019
28596.7	0.0044	0.0	0.0	0.0
28611.67	0.5383	0.5339	0.5339	0.0357
28629.12	-0.0025	-0.5408	0.5408	-0.031
28645.65	-0.0737	-0.0712	0.0712	-0.0043
28661.34	0.4783	0.552	0.552	0.0352
28676.63	0.8112	0.3329	0.3329	0.0218
28696.18	0.4596	-0.3517	0.3517	-0.018
28711.71	0.4615	0.0019	0.0019	0.0001
28726.66	-0.6013	-1.0628	1.0628	-0.0711
28746.9	-0.086	0.5154	0.5154	0.0255
28762.21	-0.0056	0.0804	0.0804	0.0053
28777.46	0.3747	0.3802	0.3802	0.0249
28797.73	0.3362	-0.0385	0.0385	-0.0019
28813.49	0.4034	0.0673	0.0673	0.0043
28830.19	-0.1245	-0.528	0.528	-0.0316
28845.39	-0.5406	-0.4161	0.4161	-0.0274
28860.77	-0.1795	0.3611	0.3611	0.0235
28876.22	-0.1412	0.0383	0.0383	0.0025
28896.11	-0.1419	-0.0007	0.0007	-0.0
28912.1	-0.1245	0.0174	0.0174	0.0011
28927.58	-0.6393	-0.5147	0.5147	-0.0333
28943.27	-0.0056	0.6337	0.6337	0.0404
28963.03	-0.0737	-0.0681	0.0681	-0.0034
28978.64	-1.1274	-1.0536	1.0536	-0.0675
28993.92	-0.0056	1.1218	1.1218	0.0734
29014.02	-0.4246	-0.4191	0.4191	-0.0208
29026.32	-0.1184	0.3063	0.3063	0.0249
29046.29	-0.1184	0.0	0.0	0.0
29061.27	-0.0138	0.1046	0.1046	0.007
29076.53	-0.1356	-0.1218	0.1218	-0.008
29096.58	-0.1235	0.0121	0.0121	0.0006
29111.9	-0.7306	-0.607	0.607	-0.0396
29126.67	-0.6393	0.0913	0.0913	0.0062
29146.74	0.0415	0.6808	0.6808	0.0339
29162.4	-0.1405	-0.1821	0.1821	-0.0116
29178.11	-0.1235	0.017	0.017	0.0011
29193.26	-0.086	0.0376	0.0376	0.0025
29213.17	0.0138	0.0997	0.0997	0.005
29230.09	-0.5527	-0.5664	0.5664	-0.0335
29245.75	0.0046	0.5573	0.5573	0.0356
29260.9	-0.0156	-0.0203	0.0203	-0.0013
29276.91	-0.6712	-0.6556	0.6556	-0.0409
29297.45	0.4103	1.0816	1.0816	0.0527
29313.68	-0.1412	-0.5515	0.5515	-0.034
29328.81	-0.1356	0.0056	0.0056	0.0004
29344.21	-0.0775	0.0581	0.0581	0.0038
29359.83	-0.0244	0.0531	0.0531	0.0034
29380.61	-0.239	-0.2146	0.2146	-0.0103
29396.2	0.3538	0.5928	0.5928	0.038
29411.69	-0.239	-0.5928	0.5928	-0.0383
29428.7	-0.239	0.0	0.0	0.0
29443.8	-0.0138	0.2252	0.2252	0.0149
29459.79	0.0044	0.0182	0.0182	0.0011
29480.07	-0.0851	-0.0895	0.0895	-0.0044
29495.25	-0.1412	-0.0561	0.0561	-0.0037
29510.25	-0.0011	0.1401	0.1401	0.0093
29530.44	0.4763	0.4774	0.4774	0.0236
29546.21	0.3985	-0.0779	0.0779	-0.0049
29561.34	0.4173	0.0188	0.0188	0.0012
29576.52	-0.4597	-0.877	0.877	-0.0578
29596.55	-0.051	0.4087	0.4087	0.0204
29611.88	-0.4331	-0.3821	0.3821	-0.0249
29629.57	0.4089	0.8419	0.8419	0.0476
29644.89	0.0044	-0.4045	0.4045	-0.0264
29660.53	-0.0056	-0.01	0.01	-0.0006
29676.27	-0.1235	-0.118	0.118	-0.0075
29696.33	-0.4153	-0.2918	0.2918	-0.0145
29711.52	-0.6013	-0.186	0.186	-0.0122
29726.49	-0.0244	0.5769	0.5769	0.0385
29746.82	-0.0735	-0.0491	0.0491	-0.0024
29762.06	0.4041	0.4776	0.4776	0.0313
29777.34	-0.1235	-0.5277	0.5277	-0.0345
29797.53	-0.5387	-0.4151	0.4151	-0.0206
29812.88	-0.1461	0.3925	0.3925	0.0256
29829.86	-0.6393	-0.4931	0.4931	-0.029
29844.92	-0.0851	0.5542	0.5542	0.0368
29860.14	-0.6072	-0.5221	0.5221	-0.0343
29880.34	-0.1958	0.4114	0.4114	0.0204
29895.71	0.0643	0.2601	0.2601	0.0169
29911.82	-0.1235	-0.1878	0.1878	-0.0117
29927.91	0.0046	0.1281	0.1281	0.008
29943.4	0.3538	0.3492	0.3492	0.0225
29963.4	-0.1158	-0.4696	0.4696	-0.0235
29978.55	-0.1235	-0.0078	0.0078	-0.0005
29994.05	-0.28	-0.1565	0.1565	-0.0101
30014.33	-0.1558	0.1242	0.1242	0.0061
30031.92	-0.7297	-0.5739	0.5739	-0.0326
30047.0	-0.6013	0.1284	0.1284	0.0085
30062.59	-0.5423	0.0591	0.0591	0.0038
30077.87	-0.1356	0.4067	0.4067	0.0266
30093.54	-0.0618	0.0738	0.0738	0.0047
30114.64	-0.1356	-0.0738	0.0738	-0.0035
30129.55	0.4676	0.6032	0.6032	0.0405
30144.56	-0.262	-0.7296	0.7296	-0.0486
30160.21	-0.1184	0.1436	0.1436	0.0092
30180.48	-0.4492	-0.3308	0.3308	-0.0163
30195.99	-0.1795	0.2697	0.2697	0.0174
30211.44	0.0543	0.2338	0.2338	0.0151
30226.42	-0.4153	-0.4696	0.4696	-0.0313
30243.78	-0.0775	0.3378	0.3378	0.0195
30263.96	0.0138	0.0913	0.0913	0.0045
30279.59	-0.1184	-0.1321	0.1321	-0.0085
30295.08	0.3362	0.4545	0.4545	0.0293
30309.61	0.5303	0.1941	0.1941	0.0134
30329.65	0.2334	-0.2968	0.2968	-0.0148
30344.83	-0.5527	-0.7861	0.7861	-0.0518
30360.02	0.5303	1.083	1.083	0.0713
30380.07	0.2579	-0.2724	0.2724	-0.0136
30395.48	-0.701	-0.9589	0.9589	-0.0622
30410.76	-0.0851	0.6159	0.6159	0.0403
30426.37	0.9033	0.9883	0.9883	0.0633
30443.47	0.4783	-0.4249	0.4249	-0.0249
30463.11	-0.6182	-1.0965	1.0965	-0.0558
30478.35	0.0468	0.6649	0.6649	0.0436
30493.84	0.7192	0.6724	0.6724	0.0434
30514.53	-0.6182	-1.3373	1.3373	-0.0646
30529.46	-0.0244	0.5938	0.5938	0.0398
30545.46	-0.0989	-0.0745	0.0745	-0.0047
30560.92	-0.1323	-0.0334	0.0334	-0.0022
30576.39	-0.0627	0.0696	0.0696	0.0045
30596.29	-0.1284	-0.0658	0.0658	-0.0033
30612.04	-0.107	0.0214	0.0214	0.0014
30628.06	-0.1284	-0.0214	0.0214	-0.0013
30645.19	0.0413	0.1698	0.1698	0.0099
30660.48	0.0543	0.013	0.013	0.0008
30680.45	-0.478	-0.5323	0.5323	-0.0267
30695.8	-0.5406	-0.0626	0.0626	-0.0041
30710.47	-0.0011	0.5396	0.5396	0.0368
30730.76	-0.0025	-0.0014	0.0014	-0.0001
30746.04	-0.1284	-0.126	0.126	-0.0082
30765.22	-0.0138	0.1146	0.1146	0.006
30780.81	-0.1235	-0.1097	0.1097	-0.007
30795.89	-0.4806	-0.3571	0.3571	-0.0237
30811.61	0.0372	0.5178	0.5178	0.0329
30827.06	0.0156	-0.0216	0.0216	-0.0014
30849.61	-0.5377	-0.5533	0.5533	-0.0245
30860.03	0.0044	0.5421	0.5421	0.052
30879.82	0.4103	0.4059	0.4059	0.0205
30895.42	0.3747	-0.0357	0.0357	-0.0023
30911.26	0.3294	-0.0453	0.0453	-0.0029
30927.49	-0.2401	-0.5695	0.5695	-0.0351
30943.18	-0.6013	-0.3612	0.3612	-0.023
30963.48	-0.1241	0.4773	0.4773	0.0235
30978.49	0.3538	0.4779	0.4779	0.0318
30993.53	-0.1412	-0.495	0.495	-0.0329
31014.4	-0.6712	-0.53	0.53	-0.0254
31029.44	0.0372	0.7084	0.7084	0.0471
31046.84	-0.1795	-0.2167	0.2167	-0.0125
31062.86	-0.086	0.0935	0.0935	0.0058
31078.2	-0.4806	-0.3946	0.3946	-0.0257
31093.39	0.0685	0.5491	0.5491	0.0361
31113.4	0.2413	0.1728	0.1728	0.0086
31129.14	0.0273	-0.214	0.214	-0.0136
31144.2	-0.1415	-0.1689	0.1689	-0.0112
31159.71	-0.0265	0.115	0.115	0.0074
31180.0	-0.1235	-0.097	0.097	-0.0048
31194.95	-0.0138	0.1097	0.1097	0.0073
31209.74	-0.118	-0.1042	0.1042	-0.007
31229.69	-0.118	0.0	0.0	0.0
31244.81	-0.1832	-0.0653	0.0653	-0.0043
31261.74	0.4303	0.6135	0.6135	0.0362
31276.89	-0.0244	-0.4547	0.4547	-0.03
31296.73	0.359	0.3834	0.3834	0.0193
31312.06	-0.6013	-0.9603	0.9603	-0.0626
31327.24	0.0512	0.6525	0.6525	0.043
31347.08	-0.1235	-0.1747	0.1747	-0.0088
31362.3	-0.1356	-0.0121	0.0121	-0.0008
31377.45	0.0543	0.1899	0.1899	0.0125
31397.4	-0.0725	-0.1268	0.1268	-0.0064
31412.77	-0.1529	-0.0804	0.0804	-0.0052
31427.79	-0.6712	-0.5183	0.5183	-0.0345
31443.09	0.0643	0.7355	0.7355	0.0481
31460.61	-0.1412	-0.2054	0.2054	-0.0117
31480.44	-0.0025	0.1387	0.1387	0.007
31495.5	-0.0025	0.0	0.0	0.0
31510.51	-0.1356	-0.1331	0.1331	-0.0089
31530.7	-0.1534	-0.0178	0.0178	-0.0009
31545.98	0.6297	0.7831	0.7831	0.0512
31561.51	-0.0138	-0.6435	0.6435	-0.0414
31577.56	-0.2144	-0.2006	0.2006	-0.0125
31593.1	0.0543	0.2687	0.2687	0.0173
31614.55	-0.0138	-0.0681	0.0681	-0.0032
31630.09	-0.5406	-0.5268	0.5268	-0.0339
31645.27	-0.7306	-0.1899	0.1899	-0.0125
31662.55	-0.7306	0.0	0.0	0.0
31677.19	0.0643	0.7948	0.7948	0.0543
31697.39	-0.0025	-0.0667	0.0667	-0.0033
31712.99	-0.6393	-0.6368	0.6368	-0.0408
31728.5	-0.6013	0.0379	0.0379	0.0024
31744.18	-0.0775	0.5238	0.5238	0.0334
31759.51	0.0203	0.0978	0.0978	0.0064
31780.22	-0.6712	-0.6915	0.6915	-0.0334
31795.29	-0.1521	0.5192	0.5192	0.0345
31810.28	-0.7306	-0.5785	0.5785	-0.0386
31830.84	-0.0056	0.725	0.725	0.0353
31846.09	0.0102	0.0158	0.0158	0.001
31863.46	-0.5841	-0.5943	0.5943	-0.0342
31878.56	-0.1184	0.4657	0.4657	0.0308
31893.83	-0.0025	0.1159	0.1159	0.0076
