00 0
00 1
00 2
00 3
00 4
00 5
00 6
00 8
00 Data was recorded 60 times per second
00 Date and Time: 2/10/2020 10:14:55 AM

00  BertecForcePlate_Recorder = 01
00  Raft = 02
00  Tracker = 03
00  SwayEvent = 21

21 timestamp(ms):66395.94  stage:1 time_period:10 sway_degree:-15 #_of_sways:0 rep:1
01 timestamp(ms):68859.21 force plate (fx, fy, fz, mx, my, mz):-0.01801109,0.1708107,0.05688477,-0.03918457,-0.008300781,0.01729298
01 timestamp(ms):68883.11 force plate (fx, fy, fz, mx, my, mz):-0.01401329,-0.07865334,0.05639648,0.07574463,-0.008148193,-0.0251379
01 timestamp(ms):68909.97 force plate (fx, fy, fz, mx, my, mz):-0.01401329,-0.07865334,0.05639648,0.07574463,-0.008148193,-0.0251379
01 timestamp(ms):68934.93 force plate (fx, fy, fz, mx, my, mz):-0.01586723,-0.07718086,-0.130127,0.02386475,0.02487183,-0.02486992
01 timestamp(ms):68970.83 force plate (fx, fy, fz, mx, my, mz):-0.01698875,-0.07408524,-0.1306152,-0.07971191,0.02487183,-0.02411556
01 timestamp(ms):68994.61 force plate (fx, fy, fz, mx, my, mz):-0.01975632,0.1690388,-0.1303711,0.01300049,-0.04177856,0.0169673
01 timestamp(ms):69019.81 force plate (fx, fy, fz, mx, my, mz):-0.01586723,-0.07718086,-0.130127,0.02386475,0.02487183,-0.02486992
01 timestamp(ms):69059.25 force plate (fx, fy, fz, mx, my, mz):-0.0141201,-0.07540703,0.05688477,-0.02825928,0.05834961,-0.02454376
01 timestamp(ms):69083.86 force plate (fx, fy, fz, mx, my, mz):-0.01874352,0.1691952,-0.130127,0.01263428,0.02471924,0.01680756
01 timestamp(ms):69110.32 force plate (fx, fy, fz, mx, my, mz):0.6518116,0.1738396,0.2453613,0.01281738,-0.009735107,-0.0654459
01 timestamp(ms):69147.88 force plate (fx, fy, fz, mx, my, mz):-0.01513481,-0.07556534,0.05688477,-0.0279541,-0.008148193,-0.0243845
01 timestamp(ms):69171.06 force plate (fx, fy, fz, mx, my, mz):-0.02038383,-0.3214893,-0.1320801,0.03485107,0.02474976,0.01812935
01 timestamp(ms):69195.8 force plate (fx, fy, fz, mx, my, mz):-0.02767754,0.1632118,0.05883789,-0.03820801,-0.008728027,-0.1694822
01 timestamp(ms):69219.91 force plate (fx, fy, fz, mx, my, mz):-0.01513481,-0.07556534,0.05688477,-0.0279541,-0.008148193,-0.0243845
01 timestamp(ms):69259.12 force plate (fx, fy, fz, mx, my, mz):0.3154697,-0.3127785,0.05493164,-0.01745605,0.007598877,0.1131048
01 timestamp(ms):69283.89 force plate (fx, fy, fz, mx, my, mz):-0.01513481,-0.07556534,0.05688477,-0.0279541,-0.008148193,-0.0243845
01 timestamp(ms):69316.35 force plate (fx, fy, fz, mx, my, mz):-0.02216148,-0.07238388,-0.1325684,-0.08068848,-0.04190063,0.06064129
01 timestamp(ms):69348.57 force plate (fx, fy, fz, mx, my, mz):-0.01801109,0.1708107,0.05688477,-0.03918457,-0.008300781,0.01729298
01 timestamp(ms):69380.45 force plate (fx, fy, fz, mx, my, mz):0.3237705,0.1742153,-0.130127,0.01239014,0.04086304,0.02661991
01 timestamp(ms):69414.45 force plate (fx, fy, fz, mx, my, mz):-0.01513481,-0.07556534,0.05688477,-0.0279541,-0.008148193,-0.0243845
01 timestamp(ms):69447.55 force plate (fx, fy, fz, mx, my, mz):-0.3413296,-0.07666969,-0.1320801,0.02337646,0.009429932,0.06741333
01 timestamp(ms):69480.98 force plate (fx, fy, fz, mx, my, mz):-0.3395824,-0.07489586,0.05493164,-0.02874756,0.04290771,0.06773949
01 timestamp(ms):69514.61 force plate (fx, fy, fz, mx, my, mz):-0.01699638,0.170969,0.05688477,-0.03948975,0.05819702,0.01713371
01 timestamp(ms):69548.22 force plate (fx, fy, fz, mx, my, mz):-0.3405972,-0.07505417,0.05493164,-0.02844238,-0.02359009,0.06789875
01 timestamp(ms):69582.01 force plate (fx, fy, fz, mx, my, mz):-0.009496689,0.1656475,0.05639648,0.0647583,-0.008026123,-0.06813812
01 timestamp(ms):69615.3 force plate (fx, fy, fz, mx, my, mz):-0.01688957,0.1677227,0.05639648,0.06439209,-0.008300781,0.01653957
01 timestamp(ms):69647.41 force plate (fx, fy, fz, mx, my, mz):-0.01477623,0.1706028,0.0559082,-0.04022217,-0.008300781,0.01721382
01 timestamp(ms):69680.88 force plate (fx, fy, fz, mx, my, mz):-0.01291466,-0.07593155,0.0559082,-0.02856445,-0.074646,-0.02430439
01 timestamp(ms):69726.52 force plate (fx, fy, fz, mx, my, mz):0.3163776,0.1762905,-0.130127,0.012146,0.04055786,0.1112976
01 timestamp(ms):69753.29 force plate (fx, fy, fz, mx, my, mz):-0.01874352,0.1691952,-0.130127,0.01263428,0.02471924,0.01680756
01 timestamp(ms):69781.48 force plate (fx, fy, fz, mx, my, mz):0.3067112,0.1686916,-0.1281738,0.01300049,0.04016113,-0.07547569
01 timestamp(ms):69814.19 force plate (fx, fy, fz, mx, my, mz):-0.01586723,-0.07718086,-0.130127,0.02386475,0.02487183,-0.02486992
01 timestamp(ms):69846.6 force plate (fx, fy, fz, mx, my, mz):-0.01401329,-0.07865334,0.05639648,0.07574463,-0.008148193,-0.0251379
01 timestamp(ms):69880.41 force plate (fx, fy, fz, mx, my, mz):-0.01874352,0.1691952,-0.130127,0.01263428,0.02471924,0.01680756
01 timestamp(ms):69914.64 force plate (fx, fy, fz, mx, my, mz):-0.3583813,-0.082201,-0.1320801,0.02410889,0.008728027,-0.03468513
01 timestamp(ms):69947.41 force plate (fx, fy, fz, mx, my, mz):-0.01375389,-0.07429314,-0.1306152,-0.08074951,0.02487183,-0.02419472
01 timestamp(ms):69983.53 force plate (fx, fy, fz, mx, my, mz):-0.01586723,-0.07718086,-0.130127,0.02386475,0.02487183,-0.02486992
01 timestamp(ms):70013.46 force plate (fx, fy, fz, mx, my, mz):-0.01338768,-0.0737915,0.2438965,-0.08007813,0.02532959,-0.02405834
01 timestamp(ms):70047.01 force plate (fx, fy, fz, mx, my, mz):-0.01513481,-0.07556534,0.05688477,-0.0279541,-0.008148193,-0.0243845
01 timestamp(ms):70070.8 force plate (fx, fy, fz, mx, my, mz):0.3121738,-0.07754898,0.2453613,0.02429199,-0.02572632,-0.1169357
01 timestamp(ms):70095 force plate (fx, fy, fz, mx, my, mz):-0.3509884,-0.08426857,-0.130127,0.02435303,0.009033203,-0.1193619
01 timestamp(ms):70118.52 force plate (fx, fy, fz, mx, my, mz):-0.01135063,0.16712,-0.130127,0.01287842,0.0249939,-0.06787014
01 timestamp(ms):70154.85 force plate (fx, fy, fz, mx, my, mz):-0.01965141,-0.3198738,0.05493164,-0.01696777,-0.008270264,0.01861477
01 timestamp(ms):70181.52 force plate (fx, fy, fz, mx, my, mz):-0.01790428,-0.3181,0.2419434,-0.0690918,0.02520752,0.01894093
01 timestamp(ms):70205.67 force plate (fx, fy, fz, mx, my, mz):-0.02038383,-0.3214893,-0.1320801,0.03485107,0.02474976,0.01812935
01 timestamp(ms):70230.29 force plate (fx, fy, fz, mx, my, mz):-0.0144825,-0.07651329,0.2453613,0.02423096,0.09182739,-0.02489281
01 timestamp(ms):70270.02 force plate (fx, fy, fz, mx, my, mz):-0.01688957,0.1677227,0.05639648,0.06439209,-0.008300781,0.01653957
01 timestamp(ms):70295.25 force plate (fx, fy, fz, mx, my, mz):-0.01688957,0.1677227,0.05639648,0.06439209,-0.008300781,0.01653957
01 timestamp(ms):70318.93 force plate (fx, fy, fz, mx, my, mz):-0.01662636,0.1714783,0.432373,-0.03881836,0.05865479,0.01727009
01 timestamp(ms):70358.21 force plate (fx, fy, fz, mx, my, mz):-0.01874352,0.1691952,-0.130127,0.01263428,0.02471924,0.01680756
01 timestamp(ms):70383.22 force plate (fx, fy, fz, mx, my, mz):-0.01550102,-0.07606697,-0.317627,-0.02862549,-0.008605957,-0.02452087
01 timestamp(ms):70407.33 force plate (fx, fy, fz, mx, my, mz):-0.01302147,-0.07267761,0.05639648,-0.1325684,-0.008148193,-0.0237093
01 timestamp(ms):70431.25 force plate (fx, fy, fz, mx, my, mz):-0.01947594,0.1675777,-0.3171387,0.06451416,0.05767822,0.01632214
01 timestamp(ms):70469.46 force plate (fx, fy, fz, mx, my, mz):0.3067112,0.1686916,-0.1281738,0.01300049,0.04016113,-0.07547569
01 timestamp(ms):70493.2 force plate (fx, fy, fz, mx, my, mz):-0.02059746,0.1706753,-0.317627,-0.03924561,0.05773926,0.01707649
01 timestamp(ms):70516.77 force plate (fx, fy, fz, mx, my, mz):-0.01586723,-0.07718086,-0.130127,0.02386475,0.02487183,-0.02486992
01 timestamp(ms):70541.02 force plate (fx, fy, fz, mx, my, mz):-0.01874352,0.1691952,-0.130127,0.01263428,0.02471924,0.01680756
01 timestamp(ms):70581.41 force plate (fx, fy, fz, mx, my, mz):0.3095875,-0.0776844,-0.1281738,0.02435303,0.04031372,-0.1171532
01 timestamp(ms):70608.55 force plate (fx, fy, fz, mx, my, mz):-0.01699638,0.170969,0.05688477,-0.03948975,0.05819702,0.01713371
01 timestamp(ms):70633.24 force plate (fx, fy, fz, mx, my, mz):-0.3538647,0.1621075,-0.130127,0.01312256,0.008850098,-0.0776844
01 timestamp(ms):70669.52 force plate (fx, fy, fz, mx, my, mz):-0.01615715,0.1693382,0.2434082,0.01257324,-0.0413208,0.01702499
01 timestamp(ms):70693.83 force plate (fx, fy, fz, mx, my, mz):-0.3458462,-0.3209782,-0.1340332,0.03436279,0.009307861,0.1104126
01 timestamp(ms):70725.58 force plate (fx, fy, fz, mx, my, mz):-0.02326012,-0.0751133,-0.1320801,0.02362061,0.02459717,0.05980682
01 timestamp(ms):70757.96 force plate (fx, fy, fz, mx, my, mz):-0.02074623,-0.3225956,0.05639648,0.08734131,0.05822754,0.0177803
01 timestamp(ms):70790.91 force plate (fx, fy, fz, mx, my, mz):-0.03015518,0.1598244,-0.3154297,0.0657959,-0.009185791,-0.1702933
