00 testapp
00 01
00 testapp
00 Data was recorded 60 times per second
00 Date and Time: 9/27/2019 2:07:22 PM

00  BertecForcePlate_Recorder = 01
00  Raft = 02
00  Tracker = 03
00  SwayEvent = 21

21 timestamp(ms):63420.79  stage:1 time_period:3 sway_degree:-15 #_of_sways:4 rep:1
01 timestamp(ms):65418.32 force plate (fx, fy, fz, mx, my, mz):1.877245,0.6710567,-4.169922,0.382019,0.3722534,-0.04130077
01 timestamp(ms):65441.04 force plate (fx, fy, fz, mx, my, mz):2.205179,0.6739407,-3.793945,0.2784424,0.3881836,-0.1327744
01 timestamp(ms):65463.84 force plate (fx, fy, fz, mx, my, mz):0.5708141,0.4055176,0.3273926,1.128723,0.7148743,0.09518909
01 timestamp(ms):65485.76 force plate (fx, fy, fz, mx, my, mz):0.2464466,0.4087563,0.3244629,1.023926,0.6329041,0.1883059
01 timestamp(ms):65507.68 force plate (fx, fy, fz, mx, my, mz):0.5711765,0.4066277,0.1394043,1.076233,0.6813965,0.09553719
01 timestamp(ms):65529.86 force plate (fx, fy, fz, mx, my, mz):0.9104462,0.657526,-0.2355957,1.064148,0.6968384,0.1468916
01 timestamp(ms):65551.91 force plate (fx, fy, fz, mx, my, mz):0.9026909,0.6584835,-0.04858398,1.116272,0.7301025,0.2312193
01 timestamp(ms):65573.95 force plate (fx, fy, fz, mx, my, mz):0.5653706,0.6471386,-1.172363,1.219299,0.7792664,0.1354856
01 timestamp(ms):65596.32 force plate (fx, fy, fz, mx, my, mz):0.5656605,0.4006252,-1.545898,1.230408,0.8454285,0.09359169
01 timestamp(ms):65620.01 force plate (fx, fy, fz, mx, my, mz):0.5635166,0.6486187,-1.359863,1.167297,0.8122864,0.1357546
01 timestamp(ms):65640.22 force plate (fx, fy, fz, mx, my, mz):0.893959,0.4046211,-1.35791,1.074341,0.8279114,0.002467632
01 timestamp(ms):65662.16 force plate (fx, fy, fz, mx, my, mz):1.555883,0.6460514,-0.6074219,1.479431,0.793457,0.04376793
01 timestamp(ms):65684.63 force plate (fx, fy, fz, mx, my, mz):1.223639,0.39258,-0.6064453,1.49115,0.777771,-0.0923996
01 timestamp(ms):65706.51 force plate (fx, fy, fz, mx, my, mz):1.233007,0.6466961,-0.2348633,1.478943,0.7119751,0.1362696
01 timestamp(ms):65729.17 force plate (fx, fy, fz, mx, my, mz):1.564528,0.6534939,-0.609375,1.47876,0.7273865,0.2307043
01 timestamp(ms):65751.73 force plate (fx, fy, fz, mx, my, mz):1.55847,0.6461926,-0.2329102,1.479309,0.727417,0.04398441
01 timestamp(ms):65773.27 force plate (fx, fy, fz, mx, my, mz):1.885056,0.416029,-0.04174805,1.233765,0.9099731,0.09863186
01 timestamp(ms):65795.55 force plate (fx, fy, fz, mx, my, mz):1.558048,0.6535511,0.3317871,1.222961,0.8946838,-0.03880215
01 timestamp(ms):65817.71 force plate (fx, fy, fz, mx, my, mz):1.552807,0.4076252,0.1447754,1.285767,0.9275513,0.0037117
01 timestamp(ms):65840.42 force plate (fx, fy, fz, mx, my, mz):1.555676,0.1612492,0.1447754,1.296997,0.9277344,-0.03796577
