00 platetest
00 Data was recorded 60 times per second
00 Date and Time: 11/1/2022 2:40:49 PM

00  BertecForcePlate_Recorder = 01
00  Raft = 02
00  Tracker = 03
00  SwayEvent = 21

21 timestamp(ms):37386.41  stage:1 time_period:10 sway_degree:-15 #_of_sways:0 rep:1
01 timestamp(ms):40183.4 force plate (fx, fy, fz, mx, my, mz):0.4815598,-0.5726471,-0.09936523,-2.184448,-1.126709,0.1140261
01 timestamp(ms):40205.8 force plate (fx, fy, fz, mx, my, mz):0.4860764,-0.3283386,-0.09838867,-2.195435,-1.126587,0.0710268
01 timestamp(ms):40228.27 force plate (fx, fy, fz, mx, my, mz):0.4860764,-0.3283386,-0.09838867,-2.195435,-1.126587,0.0710268
01 timestamp(ms):40250.52 force plate (fx, fy, fz, mx, my, mz):0.818573,-0.3300533,0.8388672,-2.143127,-1.276215,-0.02109146
01 timestamp(ms):40272.3 force plate (fx, fy, fz, mx, my, mz):0.4834518,-0.337141,0.8388672,-2.142517,-1.292084,-0.1155815
01 timestamp(ms):40294.12 force plate (fx, fy, fz, mx, my, mz):0.4834518,-0.337141,0.8388672,-2.142517,-1.292084,-0.1155815
01 timestamp(ms):40317.3 force plate (fx, fy, fz, mx, my, mz):0.1506004,-0.3345585,0.8359375,-2.143127,-1.3078,0.06137657
01 timestamp(ms):40339.67 force plate (fx, fy, fz, mx, my, mz):0.4903412,-0.5720768,1.022949,-2.184692,-1.258301,0.1145167
01 timestamp(ms):40362.8 force plate (fx, fy, fz, mx, my, mz):0.1387024,-0.5853729,-1.783691,-2.02887,-0.9119568,0.01750755
01 timestamp(ms):40383.97 force plate (fx, fy, fz, mx, my, mz):0.464901,-0.5842667,-1.594727,-2.0802,-0.9295349,-0.07428837
01 timestamp(ms):40406.09 force plate (fx, fy, fz, mx, my, mz):0.462677,-0.5838966,-1.59375,-2.079712,-0.8630676,-0.07436848
01 timestamp(ms):40427.52 force plate (fx, fy, fz, mx, my, mz):0.4723358,-0.5762978,-1.595703,-2.080688,-0.8626404,0.1124048
01 timestamp(ms):40456.11 force plate (fx, fy, fz, mx, my, mz):0.7997456,-0.3324699,0.4675293,-1.9328,-0.8779602,0.06146049
01 timestamp(ms):40474.27 force plate (fx, fy, fz, mx, my, mz):1.139486,-0.5699844,0.654541,-1.974243,-0.8284912,0.1146007
01 timestamp(ms):40494.05 force plate (fx, fy, fz, mx, my, mz):1.144003,-0.325676,0.6555176,-1.985229,-0.8283691,0.07160139
01 timestamp(ms):40517.21 force plate (fx, fy, fz, mx, my, mz):1.14076,-0.07979965,0.2805176,-1.99707,-0.8289795,0.1131415
01 timestamp(ms):40539.35 force plate (fx, fy, fz, mx, my, mz):1.14076,-0.07979965,0.2805176,-1.99707,-0.8289795,0.1131415
01 timestamp(ms):40561.36 force plate (fx, fy, fz, mx, my, mz):0.4740944,-0.3344688,0.8444824,-1.826111,-0.4272156,0.06773043
01 timestamp(ms):40585.99 force plate (fx, fy, fz, mx, my, mz):0.466835,-0.1006432,0.8474121,-1.731445,-0.4275208,-0.1627164
01 timestamp(ms):40605.73 force plate (fx, fy, fz, mx, my, mz):0.1413727,-0.1001358,0.845459,-1.731934,-0.4429626,-0.07043505
01 timestamp(ms):40627.94 force plate (fx, fy, fz, mx, my, mz):0.4764938,-0.09304428,0.845459,-1.732422,-0.4270935,0.02405691
01 timestamp(ms):40649.79 force plate (fx, fy, fz, mx, my, mz):0.8037033,-0.09178162,1.034424,-1.784119,-0.3781738,-0.06790018
01 timestamp(ms):40672.93 force plate (fx, fy, fz, mx, my, mz):0.7816868,-0.328783,0.8525391,-1.924683,0.1867065,-0.02459908
01 timestamp(ms):40695.29 force plate (fx, fy, fz, mx, my, mz):0.7936344,-0.07589912,0.2890625,-1.989075,0.2197876,0.1193094
01 timestamp(ms):40717 force plate (fx, fy, fz, mx, my, mz):1.121317,-0.07737923,0.8525391,-1.936157,0.2026672,0.02689362
01 timestamp(ms):40738.93 force plate (fx, fy, fz, mx, my, mz):0.7854633,-0.086092,0.6655273,-1.88385,0.2198486,-0.06808376
01 timestamp(ms):40762.38 force plate (fx, fy, fz, mx, my, mz):0.7940006,-0.07539558,0.6640625,-1.988403,0.2202454,0.1194458
01 timestamp(ms):40787.32 force plate (fx, fy, fz, mx, my, mz):0.4384174,-0.07521629,-0.8293457,-2.192993,0.8009949,0.02511311
01 timestamp(ms):40805.78 force plate (fx, fy, fz, mx, my, mz):0.4385242,-0.564127,-0.6413574,-2.222961,0.8345032,0.02676058
01 timestamp(ms):40828.38 force plate (fx, fy, fz, mx, my, mz):0.4383106,-0.07196236,-0.829834,-2.297058,0.8674927,0.02570772
01 timestamp(ms):40849.81 force plate (fx, fy, fz, mx, my, mz):0.7662792,-0.3199596,-0.6394043,-2.232971,0.9165649,-0.108602
01 timestamp(ms):40873.26 force plate (fx, fy, fz, mx, my, mz):0.09908676,-0.0767231,0.3029785,-1.977051,1.71814,0.03034544
01 timestamp(ms):40894.41 force plate (fx, fy, fz, mx, my, mz):0.100214,-0.3248711,0.1159668,-1.913635,1.684814,-0.01165819
01 timestamp(ms):40921.61 force plate (fx, fy, fz, mx, my, mz):0.09999657,0.1672897,-0.07055664,-1.98761,1.717804,-0.01271296
01 timestamp(ms):40938.87 force plate (fx, fy, fz, mx, my, mz):0.4306087,-0.06992722,-0.07055664,-1.977234,1.733521,0.1247802
01 timestamp(ms):40960.88 force plate (fx, fy, fz, mx, my, mz):0.4277325,0.1764488,-0.0715332,-1.988464,1.733368,0.1664577
01 timestamp(ms):40983.81 force plate (fx, fy, fz, mx, my, mz):-0.5882225,0.1610165,0.3132324,-1.771057,2.883972,-0.01797009
01 timestamp(ms):41008.51 force plate (fx, fy, fz, mx, my, mz):-0.9183769,0.1584949,-0.0612793,-1.666809,2.934509,0.07342434
01 timestamp(ms):41027.26 force plate (fx, fy, fz, mx, my, mz):-0.9157906,0.1586361,0.3132324,-1.66687,2.8685,0.07364082
01 timestamp(ms):41050.44 force plate (fx, fy, fz, mx, my, mz):-0.9102592,0.1580448,0.126709,-1.718384,2.901794,-0.01076698
01 timestamp(ms):41071.9 force plate (fx, fy, fz, mx, my, mz):-0.910656,0.4078121,0.5007324,-1.833679,2.90213,0.03172207
01 timestamp(ms):41093.98 force plate (fx, fy, fz, mx, my, mz):-0.9272881,0.1626072,0.3195801,-1.765259,3.400757,-0.01092243
01 timestamp(ms):41116.95 force plate (fx, fy, fz, mx, my, mz):-0.9273987,0.1658611,0.3195801,-1.869202,3.467255,-0.01032829
01 timestamp(ms):41138.79 force plate (fx, fy, fz, mx, my, mz):-0.9302711,0.4122372,0.3195801,-1.880432,3.467102,0.03134918
01 timestamp(ms):41162.59 force plate (fx, fy, fz, mx, my, mz):-1.256466,0.4111309,0.1306152,-1.829041,3.48468,0.1231451
01 timestamp(ms):41183.34 force plate (fx, fy, fz, mx, my, mz):-0.6104202,-0.08035469,0.1335449,-1.805054,3.515594,-0.06002045
01 timestamp(ms):41205.9 force plate (fx, fy, fz, mx, my, mz):-0.9287777,0.1645947,0.5078125,-1.816345,3.434204,-0.01051712
01 timestamp(ms):41229.07 force plate (fx, fy, fz, mx, my, mz):-0.9402981,0.1584759,0.3208008,-1.867249,3.466827,-0.1970243
01 timestamp(ms):41249.98 force plate (fx, fy, fz, mx, my, mz):-0.9287777,0.1645947,0.5078125,-1.816345,3.434204,-0.01051712
01 timestamp(ms):41271.96 force plate (fx, fy, fz, mx, my, mz):-0.2683086,0.1744328,0.5087891,-1.920532,3.532043,-0.007716179
01 timestamp(ms):41293.62 force plate (fx, fy, fz, mx, my, mz):-0.6103477,0.1646862,0.1359863,-1.814819,3.648712,-0.1031799
01 timestamp(ms):41316.77 force plate (fx, fy, fz, mx, my, mz):-0.2748642,0.1728802,-0.05151367,-1.867798,3.631073,-0.008338928
01 timestamp(ms):41337.8 force plate (fx, fy, fz, mx, my, mz):-0.2780991,0.4181499,0.1359863,-1.826538,3.664398,0.0329895
01 timestamp(ms):41360.22 force plate (fx, fy, fz, mx, my, mz):0.05023575,0.1712704,0.1379395,-1.814819,3.679993,-0.1009731
01 timestamp(ms):41387.5 force plate (fx, fy, fz, mx, my, mz):-0.2827759,0.1670551,0.1374512,-1.919006,3.664185,-0.1947899
01 timestamp(ms):41405.03 force plate (fx, fy, fz, mx, my, mz):-0.6164169,0.1764851,0.3242188,-2.176697,3.815247,-0.1007519
01 timestamp(ms):41427.08 force plate (fx, fy, fz, mx, my, mz):-0.2787819,-0.06391335,0.512207,-2.113586,3.864716,-0.04828548
01 timestamp(ms):41451.38 force plate (fx, fy, fz, mx, my, mz):-0.2780495,-0.06229782,0.6992188,-2.165466,3.831726,-0.04780006
