00 Gib
00 HideTextandButton
00 Data was recorded 60 times per second
00 Date and Time: 11/30/2023 5:12:23 PM

00  BertecForcePlate_Recorder = 01
00  Raft = 02
00  Tracker = 03
00  SwayEvent = 21

21 timestamp(ms):38833.76  stage:0 time_period:20 sway_degree:-10 #_of_sways:10 rep:1
01 timestamp(ms):42058.05 force plate (fx, fy, fz, mx, my, mz):-0.05254364,0.07322311,-0.1125488,0.02642822,-0.04159546,0.03075838
01 timestamp(ms):42096.6 force plate (fx, fy, fz, mx, my, mz):0.2757874,-0.1736641,-0.1086426,0.0380249,-0.02600098,-0.1032043
01 timestamp(ms):42141.76 force plate (fx, fy, fz, mx, my, mz):-0.04967499,-0.1731529,-0.1105957,0.03765869,-0.04144287,-0.01091909
01 timestamp(ms):42176.69 force plate (fx, fy, fz, mx, my, mz):-0.05079651,0.07499695,0.07446289,-0.02575684,-0.008087158,0.03108406
01 timestamp(ms):42219.18 force plate (fx, fy, fz, mx, my, mz):-0.04756165,-0.170269,-0.1120605,-0.0670166,-0.04144287,-0.01024532
01 timestamp(ms):42253.43 force plate (fx, fy, fz, mx, my, mz):0.2746639,-0.1705666,-0.1091309,-0.06567383,-0.02600098,-0.1024508
01 timestamp(ms):42285.4 force plate (fx, fy, fz, mx, my, mz):0.2760487,-0.1699028,0.2653809,-0.06536865,0.04095459,-0.1024733
01 timestamp(ms):42320.38 force plate (fx, fy, fz, mx, my, mz):0.271431,0.07530212,-0.4855957,-0.07745361,-0.02664185,-0.0609107
01 timestamp(ms):42354.89 force plate (fx, fy, fz, mx, my, mz):-0.04792786,-0.1713791,0.07641602,-0.01452637,-0.00793457,-0.01059341
01 timestamp(ms):42388.86 force plate (fx, fy, fz, mx, my, mz):-0.0504055,-0.1747704,-0.2976074,0.08953857,-0.008483887,-0.01140404
01 timestamp(ms):42425.32 force plate (fx, fy, fz, mx, my, mz):0.2764111,-0.1687927,0.07788086,-0.1178589,0.007507324,-0.1021252
01 timestamp(ms):42468.04 force plate (fx, fy, fz, mx, my, mz):-0.04719734,-0.1697617,0.2634277,-0.06634521,-0.04095459,-0.01010799
01 timestamp(ms):42503.49 force plate (fx, fy, fz, mx, my, mz):-0.05254364,0.07322311,-0.1125488,0.02642822,-0.04159546,0.03075838
01 timestamp(ms):42539.99 force plate (fx, fy, fz, mx, my, mz):-0.04894447,-0.1715355,0.07641602,-0.01416016,-0.07446289,-0.01043367
01 timestamp(ms):42577.15 force plate (fx, fy, fz, mx, my, mz):0.2725563,0.07160187,0.0769043,0.07928467,0.007293701,-0.06187582
01 timestamp(ms):42611.49 force plate (fx, fy, fz, mx, my, mz):-0.05079651,0.07499695,0.07446289,-0.02575684,-0.008087158,0.03108406
01 timestamp(ms):42647.64 force plate (fx, fy, fz, mx, my, mz):-0.04792786,-0.1713791,0.07641602,-0.01452637,-0.00793457,-0.01059341
01 timestamp(ms):42683.72 force plate (fx, fy, fz, mx, my, mz):0.2739334,-0.172184,-0.2961426,-0.01385498,0.007019043,-0.1029363
01 timestamp(ms):42719.02 force plate (fx, fy, fz, mx, my, mz):-0.05327415,0.07160568,-0.2995605,0.07830811,-0.008636475,0.03027344
01 timestamp(ms):42759.7 force plate (fx, fy, fz, mx, my, mz):-0.0551281,0.07308578,-0.486084,0.02642822,0.02438354,0.03054142
01 timestamp(ms):42796.39 force plate (fx, fy, fz, mx, my, mz):-0.05079651,0.07499695,0.07446289,-0.02575684,-0.008087158,0.03108406
01 timestamp(ms):42830.33 force plate (fx, fy, fz, mx, my, mz):-0.05079651,0.07499695,0.07446289,-0.02575684,-0.008087158,0.03108406
01 timestamp(ms):42875.65 force plate (fx, fy, fz, mx, my, mz):-0.04967499,-0.1731529,-0.1105957,0.03765869,-0.04144287,-0.01091909
01 timestamp(ms):42917.8 force plate (fx, fy, fz, mx, my, mz):-0.05265045,0.07647705,-0.1120605,-0.07763672,0.02493286,0.03135204
01 timestamp(ms):42951.85 force plate (fx, fy, fz, mx, my, mz):-0.05254364,0.07322311,-0.1125488,0.02642822,-0.04159546,0.03075838
01 timestamp(ms):42989.56 force plate (fx, fy, fz, mx, my, mz):-0.3751259,-0.1726494,-0.1125488,0.03717041,-0.05688477,0.08136415
01 timestamp(ms):43025.65 force plate (fx, fy, fz, mx, my, mz):-0.05003738,-0.174263,0.0769043,0.09014893,-0.007995605,-0.01126814
01 timestamp(ms):43068.77 force plate (fx, fy, fz, mx, my, mz):-0.05290604,0.07211304,0.07495117,0.07891846,-0.008148193,0.03040934
01 timestamp(ms):43105.54 force plate (fx, fy, fz, mx, my, mz):-0.05181313,0.07484055,0.07446289,-0.02539063,-0.07461548,0.0312438
01 timestamp(ms):43144.47 force plate (fx, fy, fz, mx, my, mz):-0.3855534,0.06840897,0.4489746,-0.02459717,-0.02352905,-0.06326962
01 timestamp(ms):43185.69 force plate (fx, fy, fz, mx, my, mz):-0.05079651,0.07499695,0.07446289,-0.02575684,-0.008087158,0.03108406
01 timestamp(ms):43225.42 force plate (fx, fy, fz, mx, my, mz):-0.05254364,0.07322311,-0.1125488,0.02642822,-0.04159546,0.03075838
01 timestamp(ms):43261.44 force plate (fx, fy, fz, mx, my, mz):-0.04792786,-0.1713791,0.07641602,-0.01452637,-0.00793457,-0.01059341
01 timestamp(ms):43299.49 force plate (fx, fy, fz, mx, my, mz):-0.05079651,0.07499695,0.07446289,-0.02575684,-0.008087158,0.03108406
01 timestamp(ms):43334.89 force plate (fx, fy, fz, mx, my, mz):0.2731781,0.07707596,-0.298584,-0.1296387,0.006866455,-0.06058502
