00 Gib
00 004
00 ExportNotUsed
00 Data was recorded 30 times per second
00 Date and Time: 11/30/2023 4:56:33 PM

00  BertecForcePlate_Recorder = 01
00  Raft = 02
00  Tracker = 03
00  SwayEvent = 21

21 timestamp(ms):58570.13  stage:0 time_period:20 sway_degree:-10 #_of_sways:10 rep:1
01 timestamp(ms):64170.59 force plate (fx, fy, fz, mx, my, mz):-0.2829552,0.05661583,0.1259766,-0.0123291,0.03308105,-0.06710052
01 timestamp(ms):64208.93 force plate (fx, fy, fz, mx, my, mz):0.05041885,0.06193733,-0.0612793,0.03936768,0.01544189,0.02706337
01 timestamp(ms):64245.3 force plate (fx, fy, fz, mx, my, mz):0.373661,0.06179237,-0.05932617,0.04034424,0.09735107,-0.0653019
01 timestamp(ms):64279.75 force plate (fx, fy, fz, mx, my, mz):0.04076004,0.05433846,-0.05932617,0.04034424,0.01504517,-0.1597118
01 timestamp(ms):64315.1 force plate (fx, fy, fz, mx, my, mz):0.04039383,0.05322456,0.1281738,0.09283447,0.04849243,-0.1600609
01 timestamp(ms):64353.28 force plate (fx, fy, fz, mx, my, mz):0.05529404,0.3073483,-0.248291,-0.02410889,-0.01794434,-0.01558876
01 timestamp(ms):64391.04 force plate (fx, fy, fz, mx, my, mz):0.05005264,0.06082344,0.1262207,0.09185791,0.04888916,0.02671432
01 timestamp(ms):64433.02 force plate (fx, fy, fz, mx, my, mz):1.025356,-0.1914978,0.5083008,0.0003051758,0.0954895,-0.4778581
01 timestamp(ms):64469.58 force plate (fx, fy, fz, mx, my, mz):0.7198277,-0.1653233,0.3125,-0.05505371,-0.08547974,0.2600965
01 timestamp(ms):64504.8 force plate (fx, fy, fz, mx, my, mz):-0.5743446,-0.1618309,0.3051758,0.1508179,-0.2133179,0.8147378
01 timestamp(ms):64544.58 force plate (fx, fy, fz, mx, my, mz):0.04261398,0.05285835,0.1271973,0.09210205,-0.01797485,-0.1599808
01 timestamp(ms):64579.58 force plate (fx, fy, fz, mx, my, mz):0.366581,0.05493736,-0.2453613,-0.01177979,-0.00302124,-0.2516479
01 timestamp(ms):64622.29 force plate (fx, fy, fz, mx, my, mz):0.04112625,0.05544853,-0.2473145,-0.012146,-0.01846313,-0.1593647
01 timestamp(ms):64660.23 force plate (fx, fy, fz, mx, my, mz):0.0522728,0.06045723,0.1252441,0.09112549,-0.01757813,0.02679443
01 timestamp(ms):64697.4 force plate (fx, fy, fz, mx, my, mz):0.04188156,0.05124092,-0.05981445,0.1439819,0.01504517,-0.1604662
01 timestamp(ms):64742.98 force plate (fx, fy, fz, mx, my, mz):0.3849888,-0.1744862,0.6870117,0.05010986,0.03213501,0.1647482
01 timestamp(ms):64793.54 force plate (fx, fy, fz, mx, my, mz):0.3817539,-0.173666,0.1257324,-0.001953125,-0.00177002,0.16504
01 timestamp(ms):64832.33 force plate (fx, fy, fz, mx, my, mz):-0.2873573,-0.1909466,0.1252441,0.1027222,-0.03353882,-0.02469635
01 timestamp(ms):64870.01 force plate (fx, fy, fz, mx, my, mz):0.7153339,0.07042503,0.5014648,-0.01287842,0.01425171,0.02981281
01 timestamp(ms):64902.25 force plate (fx, fy, fz, mx, my, mz):0.7104511,-0.1749973,0.6889648,0.05059814,0.0475769,0.07246304
01 timestamp(ms):64933.36 force plate (fx, fy, fz, mx, my, mz):0.05216789,0.06310844,0.6879883,0.04022217,0.08291626,0.02717686
01 timestamp(ms):64969.98 force plate (fx, fy, fz, mx, my, mz):0.05188179,0.3102322,0.4995117,-0.02410889,-0.01721191,0.06928444
01 timestamp(ms):65001.11 force plate (fx, fy, fz, mx, my, mz):0.3798466,0.06222343,0.6889648,0.0401001,0.03182983,-0.06502819
01 timestamp(ms):65040.59 force plate (fx, fy, fz, mx, my, mz):0.05179977,0.06259727,0.3134766,0.03967285,0.08236694,0.02704048
01 timestamp(ms):65072.46 force plate (fx, fy, fz, mx, my, mz):-0.2825909,0.05711937,0.5004883,-0.01165771,0.03356934,-0.06696415
01 timestamp(ms):65107.05 force plate (fx, fy, fz, mx, my, mz):0.04472542,0.05513573,0.6889648,0.04058838,0.01599121,-0.1595182
