00 datatest
00 Data was recorded 60 times per second
00 Date and Time: 1/23/2023 2:14:48 PM

00  BertecForcePlate_Recorder = 01
00  Raft = 02
00  Tracker = 03
00  SwayEvent = 21

21 timestamp(ms):23052.57  stage:1 time_period:10 sway_degree:-5 #_of_sways:60 rep:1
01 timestamp(ms):25061.01 force plate (fx, fy, fz, mx, my, mz):-0.03348351,-0.001623154,0.2392578,0.04290771,0.009552002,0.1311073
01 timestamp(ms):25076.49 force plate (fx, fy, fz, mx, my, mz):-0.04950905,-0.2520504,0.05273438,0.003112793,0.04205322,-0.01239967
01 timestamp(ms):25096.29 force plate (fx, fy, fz, mx, my, mz):-0.04499626,-0.007749557,0.05371094,-0.007873535,0.04217529,-0.05539894
01 timestamp(ms):25111.39 force plate (fx, fy, fz, mx, my, mz):-0.04765129,-0.2535229,0.2392578,0.05487061,0.009033203,-0.01266861
01 timestamp(ms):25126.1 force plate (fx, fy, fz, mx, my, mz):-0.04426384,-0.006132126,0.2407227,-0.05975342,0.009155273,-0.05491352
01 timestamp(ms):25145.8 force plate (fx, fy, fz, mx, my, mz):-0.04452324,-0.009889603,-0.1337891,0.04351807,-0.05780029,-0.05564594
01 timestamp(ms):25161.2 force plate (fx, fy, fz, mx, my, mz):-0.04525185,-0.01210976,0.2416992,0.1484985,0.009185791,-0.05634212
01 timestamp(ms):25178.49 force plate (fx, fy, fz, mx, my, mz):-0.03606796,-0.001768112,-0.1352539,0.04296875,0.07559204,0.1308908
01 timestamp(ms):25193.59 force plate (fx, fy, fz, mx, my, mz):-0.04637337,0.2360401,0.4267578,0.08514404,0.04251099,-0.01433849
01 timestamp(ms):25214.14 force plate (fx, fy, fz, mx, my, mz):-0.05052757,-0.007146835,0.2392578,0.04364014,0.008880615,0.02900887
01 timestamp(ms):25228.84 force plate (fx, fy, fz, mx, my, mz):-0.04499626,-0.007749557,0.05371094,-0.007873535,0.04217529,-0.05539894
01 timestamp(ms):25244.08 force plate (fx, fy, fz, mx, my, mz):0.2919788,-0.002134323,0.2412109,0.043396,0.02502441,0.03882217
01 timestamp(ms):25259.43 force plate (fx, fy, fz, mx, my, mz):-0.04765129,-0.2535229,0.2392578,0.05487061,0.009033203,-0.01266861
01 timestamp(ms):25279.83 force plate (fx, fy, fz, mx, my, mz):-0.04765129,-0.2535229,0.2392578,0.05487061,0.009033203,-0.01266861
01 timestamp(ms):25295.03 force plate (fx, fy, fz, mx, my, mz):-0.04463005,-0.006635666,-0.1342773,-0.06036377,0.00869751,-0.05505085
01 timestamp(ms):25309.64 force plate (fx, fy, fz, mx, my, mz):-0.3725986,0.2407551,0.237793,-0.07147217,-0.006439209,0.07904911
01 timestamp(ms):25329.75 force plate (fx, fy, fz, mx, my, mz):-0.05164909,-0.004056931,0.2387695,-0.05999756,0.008880615,0.02976322
