00 testrun
00 01
00 testingapp
00 Data was recorded 60 times per second
00 Date and Time: 9/27/2019 2:05:28 PM

00  BertecForcePlate_Recorder = 01
00  Raft = 02
00  Tracker = 03
00  SwayEvent = 21

21 timestamp(ms):78432.86  stage:1 time_period:3 sway_degree:-15 #_of_sways:4 rep:1
01 timestamp(ms):80119.68 force plate (fx, fy, fz, mx, my, mz):1.54825,-0.5669136,-0.8051758,-9.731262,12.49286,1.612608
01 timestamp(ms):80142.2 force plate (fx, fy, fz, mx, my, mz):1.222788,-0.5664024,-0.8071289,-9.731628,12.47742,1.704892
01 timestamp(ms):80164.28 force plate (fx, fy, fz, mx, my, mz):1.222136,-0.3203888,-0.809082,-9.743469,12.41077,1.74665
01 timestamp(ms):80186.6 force plate (fx, fy, fz, mx, my, mz):1.560133,-0.5596848,-0.8071289,-9.732727,12.42676,1.799465
01 timestamp(ms):80208.66 force plate (fx, fy, fz, mx, my, mz):1.558641,-0.5576973,-0.6191406,-9.784058,12.46027,1.799869
01 timestamp(ms):80231.05 force plate (fx, fy, fz, mx, my, mz):-0.7882748,-0.7574844,-0.6088867,-10.89716,14.34766,2.325395
01 timestamp(ms):80252.97 force plate (fx, fy, fz, mx, my, mz):-0.7858753,-0.5160675,-0.6079102,-10.80347,14.34781,2.28172
01 timestamp(ms):80275.25 force plate (fx, fy, fz, mx, my, mz):-0.7877293,-0.5145874,-0.7954102,-10.85547,14.38083,2.281989
01 timestamp(ms):80297.88 force plate (fx, fy, fz, mx, my, mz):-0.789587,-0.5131073,-0.9819336,-10.90723,14.41385,2.282256
01 timestamp(ms):80319.88 force plate (fx, fy, fz, mx, my, mz):-0.7903194,-0.5147247,-1.168945,-10.85541,14.44687,2.28177
01 timestamp(ms):80342.1 force plate (fx, fy, fz, mx, my, mz):-3.538347,-1.678495,-0.01220703,-12.73297,18.11545,2.363597
01 timestamp(ms):80364.49 force plate (fx, fy, fz, mx, my, mz):-4.196531,-1.929312,0.1743164,-12.77319,18.18433,2.319961
01 timestamp(ms):80386.3 force plate (fx, fy, fz, mx, my, mz):-3.872816,-1.931597,-0.01074219,-12.72052,18.16629,2.22735
01 timestamp(ms):80408.55 force plate (fx, fy, fz, mx, my, mz):-4.200495,-1.930719,-0.01171875,-12.72028,18.21738,2.319555
